name,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,like
LATATA,0.00427,https://api.spotify.com/v1/audio-analysis/2ezKXygNO30pXyDQXkm6oD,0.774,202773,0.792,2ezKXygNO30pXyDQXkm6oD,1.15e-06,9,0.283,-4.019,0,0.224,98.1,4,https://api.spotify.com/v1/tracks/2ezKXygNO30pXyDQXkm6oD,audio_features,spotify:track:2ezKXygNO30pXyDQXkm6oD,0.505,0.0
My Love,0.0584,https://api.spotify.com/v1/audio-analysis/1GGY3gxsdIfEGua4hZFwXN,0.6859999999999999,195789,0.888,1GGY3gxsdIfEGua4hZFwXN,0.0,7,0.211,-2.173,1,0.055,109.994,4,https://api.spotify.com/v1/tracks/1GGY3gxsdIfEGua4hZFwXN,audio_features,spotify:track:1GGY3gxsdIfEGua4hZFwXN,0.598,0.0
The Few Things,0.64,https://api.spotify.com/v1/audio-analysis/7GajeLvMksa794ZEQXwRSy,0.536,211567,0.426,7GajeLvMksa794ZEQXwRSy,5.88e-06,7,0.147,-10.446,1,0.123,135.872,4,https://api.spotify.com/v1/tracks/7GajeLvMksa794ZEQXwRSy,audio_features,spotify:track:7GajeLvMksa794ZEQXwRSy,0.375,1.0
Head Over Heels,0.0296,https://api.spotify.com/v1/audio-analysis/4uSGKYoqdlqXYAr8SwhnFl,0.578,189000,0.879,4uSGKYoqdlqXYAr8SwhnFl,0.0,4,0.22,-4.912,1,0.0306,93.006,4,https://api.spotify.com/v1/tracks/4uSGKYoqdlqXYAr8SwhnFl,audio_features,spotify:track:4uSGKYoqdlqXYAr8SwhnFl,0.6990000000000001,0.0
Complicated,0.0766,https://api.spotify.com/v1/audio-analysis/1BMfojwi8eKlVtGOEfJw17,0.7140000000000001,186797,0.687,1BMfojwi8eKlVtGOEfJw17,4.35e-05,1,0.0725,-3.641,0,0.0374,99.962,4,https://api.spotify.com/v1/tracks/1BMfojwi8eKlVtGOEfJw17,audio_features,spotify:track:1BMfojwi8eKlVtGOEfJw17,0.539,1.0
Dragging Dead Bodies In Blue Bags Up Really Long Hills,0.00646,https://api.spotify.com/v1/audio-analysis/4goNFcsuIJS0TJixaUiYbG,0.419,218133,0.945,4goNFcsuIJS0TJixaUiYbG,7.11e-06,8,0.313,-3.574,1,0.111,100.509,4,https://api.spotify.com/v1/tracks/4goNFcsuIJS0TJixaUiYbG,audio_features,spotify:track:4goNFcsuIJS0TJixaUiYbG,0.48,0.0
달라달라 DALLA DALLA,0.00116,https://api.spotify.com/v1/audio-analysis/6G7DuXoSGeAf6BZivJdEjF,0.79,199874,0.853,6G7DuXoSGeAf6BZivJdEjF,4.23e-05,11,0.329,-4.564,0,0.0665,124.998,4,https://api.spotify.com/v1/tracks/6G7DuXoSGeAf6BZivJdEjF,audio_features,spotify:track:6G7DuXoSGeAf6BZivJdEjF,0.713,0.0
Bad,0.7559999999999999,https://api.spotify.com/v1/audio-analysis/3xRcQ04b0l5RiU2w7lJhCD,0.5489999999999999,225920,0.413,3xRcQ04b0l5RiU2w7lJhCD,0.0,4,0.0939,-5.5870000000000015,1,0.0362,139.981,4,https://api.spotify.com/v1/tracks/3xRcQ04b0l5RiU2w7lJhCD,audio_features,spotify:track:3xRcQ04b0l5RiU2w7lJhCD,0.29,1.0
Bleed Out,0.18600000000000005,https://api.spotify.com/v1/audio-analysis/1b0NxKjbbFKn1GvW2CDNZ0,0.476,206301,0.472,1b0NxKjbbFKn1GvW2CDNZ0,4.15e-05,0,0.111,-9.427,1,0.0343,73.169,4,https://api.spotify.com/v1/tracks/1b0NxKjbbFKn1GvW2CDNZ0,audio_features,spotify:track:1b0NxKjbbFKn1GvW2CDNZ0,0.147,1.0
Break,0.000666,https://api.spotify.com/v1/audio-analysis/4urxRqBRiaH0i20OKBsgxc,0.578,193107,0.897,4urxRqBRiaH0i20OKBsgxc,0.0,0,0.0924,-3.906,1,0.0357,115.491,4,https://api.spotify.com/v1/tracks/4urxRqBRiaH0i20OKBsgxc,audio_features,spotify:track:4urxRqBRiaH0i20OKBsgxc,0.737,1.0
